2025-08-03 06:53:54 | WARNING | rhetorical_chunking | rhetorical_chunking.py:125 | ⚠️ Failed to parse entity 155: 'start'
2025-08-03 06:53:54 | WARNING | rhetorical_chunking | rhetorical_chunking.py:125 | ⚠️ Failed to parse entity 156: 'start'
2025-08-03 06:53:54 | WARNING | rhetorical_chunking | rhetorical_chunking.py:125 | ⚠️ Failed to parse entity 157: 'start'
2025-08-03 06:53:54 | WARNING | rhetorical_chunking | rhetorical_chunking.py:125 | ⚠️ Failed to parse entity 158: 'start'
2025-08-03 06:53:54 | WARNING | rhetorical_chunking | rhetorical_chunking.py:125 | ⚠️ Failed to parse entity 159: 'start'
2025-08-03 06:53:54 | WARNING | rhetorical_chunking | rhetorical_chunking.py:125 | ⚠️ Failed to parse entity 160: 'start'
2025-08-03 06:53:54 | WARNING | rhetorical_chunking | rhetorical_chunking.py:125 | ⚠️ Failed to parse entity 161: 'start'
2025-08-03 06:53:54 | WARNING | rhetorical_chunking | rhetorical_chunking.py:125 | ⚠️ Failed to parse entity 162: 'start'
2025-08-03 06:53:54 | WARNING | rhetorical_chunking | rhetorical_chunking.py:125 | ⚠️ Failed to parse entity 163: 'start'
2025-08-03 06:53:54 | WARNING | rhetorical_chunking | rhetorical_chunking.py:125 | ⚠️ Failed to parse entity 164: 'start'
2025-08-03 06:53:54 | WARNING | rhetorical_chunking | rhetorical_chunking.py:125 | ⚠️ Failed to parse entity 165: 'start'
2025-08-03 06:53:54 | WARNING | rhetorical_chunking | rhetorical_chunking.py:125 | ⚠️ Failed to parse entity 166: 'start'
2025-08-03 06:53:54 | WARNING | rhetorical_chunking | rhetorical_chunking.py:125 | ⚠️ Failed to parse entity 167: 'start'
2025-08-03 06:53:54 | WARNING | rhetorical_chunking | rhetorical_chunking.py:125 | ⚠️ Failed to parse entity 168: 'start'
2025-08-03 06:53:54 | WARNING | rhetorical_chunking | rhetorical_chunking.py:125 | ⚠️ Failed to parse entity 169: 'start'
2025-08-03 06:53:54 | WARNING | rhetorical_chunking | rhetorical_chunking.py:125 | ⚠️ Failed to parse entity 170: 'start'
2025-08-03 06:53:54 | WARNING | rhetorical_chunking | rhetorical_chunking.py:125 | ⚠️ Failed to parse entity 171: 'start'
